NAME,ISIN,SEDOL
VRTS US Equity,US92828Q1094,92828Q109
CFN US Equity,US14170T1016,14170T101
AOL US Equity,US00184X1054,00184X105
MSG US Equity,US55826P1003,55826P100
CLGX US Equity,US21871D1037,21871D103
QEP US Equity,US74733V1008,74733V100
BWC US Equity,US05615F1021,05615F102
HHC US Equity,US44267D1072,44267D107
HII US Equity,US4464131063,446413106
AMCX US Equity,US00164V1035,00164V103
MPC US Equity,US56585A1025,56585A102
FBHS US Equity,US34964C1062,34964C106
XYL US Equity,US98419M1009,98419M100
XLS US Equity,US30162A1088,30162A108
VAC US Equity,US57164Y1073,57164Y107
TRIP US Equity,US8969452015,896945201
WPX US Equity,US98212B1035,98212B103
RSE US Equity,US7792871011,779287101
POST US Equity,US7374461041,737446104
PSX US Equity,US7185461040,718546104
FRGI US Equity,US31660B1017,31660B101
ALEX US Equity,US0144911049,14491104
EGL US Equity,US29285W1045,29285W104
LVNTA US Equity,US53071M8800,53071M880
ADT US Equity,US00101J1060,00101J106
HY US Equity,US4491721050,449172105
KRFT US Equity,US50076Q1067,50076Q106
CNSI US Equity,US20585P1057,20585P105
RESI US Equity,US02153W1009,02153W100
ABBV US Equity,US00287Y1091,00287Y109
STRZA US Equity,US85571Q1022,85571Q102
AXLL US Equity,US05463D1000,05463D100
ERA US Equity,US26885G1094,26885G109
CST US Equity,US12646R1059,12646R105
NRZ US Equity,US64828T1025,64828T102
NWSA US Equity,US65249B1098,65249B109
MUSA US Equity,US6267551025,626755102
SAIC US Equity,US8086251076,808625107
FTD US Equity,US30281V1089,30281V108
GLPI US Equity,US36467J1088,36467J108
AYR US Equity,BMG0129K1045,N.A.
MO US Equity,US02209S1033,02209S103
AEE US Equity,US0236081024,23608102
T US Equity,US00206R1023,00206R102
AVA US Equity,US05379B1070,05379B107
BMY US Equity,US1101221083,110122108
CMO US Equity,US14067E5069,14067E506
CNSL US Equity,US2090341072,209034107
ED US Equity,US2091151041,209115104
EEP US Equity,US29250R1068,29250R106
ETP US Equity,US29273R1095,29273R109
ETR US Equity,US29364G1031,29364G103
EPD US Equity,US2937921078,293792107
FGP US Equity,US3152931008,315293100
FE US Equity,US3379321074,337932107
FTR US Equity,US35906A1088,35906A108
GXP US Equity,US3911641005,391164100
HE US Equity,US4198701009,419870100
TEG US Equity,US45822P1057,45822P105
LMT US Equity,US5398301094,539830109
LO US Equity,US5441471019,544147101
MRK US Equity,US58933Y1055,58933Y105
MFA US Equity,US55272X1028,55272X102
NRP US Equity,US63900P1030,63900P103
NKA US Equity,US6546781013,654678101
OKS US Equity,US68268N1037,68268N103
PDLI US Equity,US69329Y1047,69329Y104
PMT US Equity,US70931T1034,70931T103
POM US Equity,US7132911022,713291102
PNW US Equity,US7234841010,723484101
PVR US Equity,US6936651016,693665101
QRE US Equity,US74734R1086,74734R108
RGC US Equity,US7587661098,758766109
RSO US Equity,US76120W3025,76120W302
RAI US Equity,US7617131062,761713106
TCP US Equity,US87233Q1085,87233Q108
SE US Equity,US8475601097,847560109
VGR US Equity,US92240M1080,92240M108
VVC US Equity,US92240G1013,92240G101
VZ US Equity,US92343V1044,92343V104
WPC US Equity,US92936U1097,92936U109
WIN US Equity,US97382A1016,97382A101
WWE US Equity,US98156Q1085,98156Q108
CLI US Equity,US5544891048,554489104
CLNY US Equity,US19624R1068,19624R106
STWD US Equity,US85571B1052,85571B105
GOV US Equity,US38376A1034,38376A103
EPR US Equity,US26884U1097,26884U109
NYCB US Equity,US6494451031,649445103
CWH US Equity,US2032331017,203233101
UCS IN Equity,INE607F01021,N.A.
UNTDB IN Equity,INE695A01019,N.A.
STR IN Equity,INE939A01011,N.A.
STCP IN Equity,INE035C01014,N.A.
SIEM IN Equity,INE003A01024,N.A.
RIL IN Equity,INE002A01018,N.A.
PND IN Equity,INE889E01010,N.A.
NIL IN Equity,INE997D01021,N.A.
MRF IN Equity,INE883A01011,N.A.
MPHL IN Equity,INE356A01018,N.A.
MSS IN Equity,INE775A01035,N.A.
LME IN Equity,INE028C01019,N.A.
HCLT IN Equity,INE860A01027,N.A.
EDIS IN Equity,INE180G01019,N.A.
CLPL IN Equity,INE475E01018,N.A.
AKIL IN Equity,INE143N01021,N.A.
JFD IN Equity,INE921D01013,N.A.
APTY IN Equity,INE438A01022,N.A.
ALOK IN Equity,INE270A01011,N.A.
SOI LN Equity,GB00B0CRWN59,N.A.
DOC US Equity,US71943U1043,71943U104
PFE US Equity,US7170811035,717081103
TSC TB Equity,TH0847010004,N.A.
PGR US Equity,US7433151039,743315103
NXT LN Equity,GB0032089863,N.A.
PNA GR Equity,ZAE000184149,N.A.
8079 HK Equity,BMG9289V1494,N.A.
PNB PM Equity,PHY7027H1583,N.A.
EPCO TB Equity,TH0344B10Z07,N.A.
TTA TB Equity,TH0535010Z05,N.A.
PIL SS Equity,SE0005133253,N.A.
SNFCA US Equity,US8147853092,814785309
AAPL US Equity,US0378331005,37833100
MANH US Equity,US5627501092,562750109
RLI US Equity,US7496071074,749607107
8967 JP Equity,JP3046230003,N.A.
007630 KS Equity,KR7007630007,N.A.
SIRI US Equity,US82968B1035,82968B103
RLO SJ Equity,ZAE000057428,N.A.
CIG US Equity,US2044096012,204409601
LEW SJ Equity,ZAE000058236,N.A.
384 HK Equity,BMG2109G1033,N.A.
OKE US Equity,US6826801036,682680103
